FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
1454	NA12813	0.058368	0.04598	0.0567253	-0.0144718	-0.0532485	0.070241	-0.000451021	0.033459	-0.07092	0.0779045
1341	NA07055	0.0587158	0.0507976	0.0100741	-0.0155612	-0.0087657	0.0117486	-0.00857585	0.0127061	-0.0258706	-0.0440258
1344	NA12056	0.0581449	0.0516064	0.00143861	-0.015516	-0.00157455	-0.00252237	-0.0299479	-0.0273981	0.00813505	-0.00833231
1334	NA12145	0.0586987	0.0463983	0.0416796	0.00704245	-0.00280291	0.00387236	-0.00751617	-0.0213572	-0.00285704	-0.00590681
1454	NA12814	0.0563799	0.0491412	0.010025	0.000949924	4.10627e-06	-0.0288065	0.0145021	-0.00962299	-0.0189449	-0.0146289
1420	NA12006	0.0569426	0.0516841	-0.00780581	-0.0115683	0.0244978	-0.00102167	-0.00707798	-0.0127087	-0.0378773	0.00392181
1447	NA12763	0.0576079	0.0482527	-0.015791	0.00430612	0.00363667	-0.0165816	-0.000461244	0.00785323	-0.00724669	0.000911707
1345	NA07357	0.0574119	0.0489491	0.0287557	-0.00536829	-0.00652813	-0.00914994	0.00254651	-0.00754759	0.00630115	-0.0261344
1334	NA12144	0.0585554	0.044302	-0.0286754	0.0102651	0.000716875	0.0112371	0.0154523	-0.00606176	-0.00799067	0.0176183
1340	NA07000	0.0576122	0.0417743	-0.00691471	-0.000239887	0.0152249	0.0142512	0.00241984	-0.0140372	0.00466902	-0.0082003
1350	NA11832	0.0561454	0.0473706	0.0295042	0.0191318	0.0108739	-0.0111938	-0.0110131	0.00368265	0.00933247	0.00441748
1349	NA11840	0.0570993	0.0350791	-0.0181748	0.00380981	0.0253763	0.0197153	0.0110462	0.000214349	0.0326039	0.0118947
1447	NA12761	0.0587087	0.0524526	0.00531984	0.0107128	-0.0236039	0.0248553	-0.000715144	-0.0214196	-0.0137574	-0.0133437
1340	NA06994	0.0596696	0.042911	0.00396183	-0.00646865	-0.0152546	0.0078589	0.00053908	-0.0106232	0.00512528	0.00426793
1362	NA11993	0.0569587	0.0367942	0.00529015	0.00759855	0.0140525	0.0138191	0.022979	-0.0115814	-0.0063992	-0.0294325
1362	NA11995	0.059655	0.0541654	-0.0336241	0.0154929	-0.00688013	0.0189907	0.0247904	0.0151548	-0.00904526	0.0119538
1463	NA12891	0.05892	0.0503019	0.0346792	0.0110224	-0.0387195	-0.00448436	-0.0227774	-0.0368778	0.0126062	-8.94963e-05
1444	NA12751	0.0578366	0.0502984	0.00733295	-0.00842497	-0.00431006	7.0189e-05	-0.0154213	-0.0329029	0.0452792	0.00458753
1420	NA12005	0.0574761	0.0431204	-0.00623805	0.000815264	0.00566452	0.00294912	-0.0145599	-0.0242252	-0.00816832	0.00319013
1375	NA12234	0.0568337	0.0442152	0.016809	-0.00820228	-0.0134941	-0.0135466	0.00717728	-0.0208843	-0.00992239	0.0155259
1345	NA07345	0.0584992	0.0557373	0.00917215	-0.0125042	-0.00816934	-0.0188353	-0.024073	0.0157133	0.0327655	0.0232779
1463	NA12892	0.0554347	0.0400419	-0.0155386	0.0154852	-0.00077464	0.0174816	0.0176363	-0.0292402	-0.0390189	-0.00817684
1416	NA12248	0.0576473	0.0441535	0.0054914	0.00144023	-0.00991044	-0.00157144	0.0128679	0.0011073	0.00983087	-0.0202949
1459	NA12872	0.0600301	0.042381	0.0131254	0.000419243	0.0103185	0.00614077	-0.00778799	-0.00218095	0.0111153	-0.00926529
1408	NA12155	0.0586041	0.0374133	0.0102768	0.0210481	-0.039309	0.0198219	-0.0129207	-0.00369428	0.0265184	0.00865426
1341	NA06993	0.0579063	0.0511605	-0.013893	-0.0196841	0.0163204	-0.00786073	0.0218301	-0.0108643	-0.0123636	-0.0412744
1350	NA11830	0.056079	0.0441731	0.00814204	0.00739977	0.000519989	-0.0343073	0.00203737	0.00420576	0.00867504	-0.0111227
1416	NA12249	0.0570075	0.0376119	0.0279906	0.00533995	-0.00585086	0.00100823	0.0128977	-0.0160197	0.0178009	-0.013655
1344	NA12057	0.0580198	0.0450508	-0.00654153	0.0521754	0.015294	-0.0230276	-0.00385792	-0.0143297	0.00142106	0.000441698
1454	NA12812	0.0572807	0.038069	0.0251569	-0.00245971	-0.00014466	0.0224178	0.00357598	-0.00424272	-0.0168119	0.0139896
1347	NA11881	0.0557099	0.0459887	0.0308024	0.00930685	-0.0165997	-0.029475	-0.00434023	0.0116126	0.0343271	0.0195925
1362	NA11994	0.0572402	0.0391159	-0.000960878	-0.0374367	-0.0233319	1.55394e-05	-0.0115554	-0.0188429	0.00531682	0.00159896
1459	NA12873	0.0592618	0.0506102	0.00953887	0.0100539	-0.0152465	0.00385746	0.0145007	0.000541813	-0.00347002	-0.0150505
1454	NA12815	0.0577942	0.0522426	-0.00608226	-0.0412249	-0.00651459	0.0201091	-0.0145804	0.0432746	-0.00109143	-0.00823874
1346	NA12043	0.0577161	0.0503477	0.0307776	-0.0244721	-0.0170257	0.0212635	-0.010851	0.0293982	0.027869	-0.0251791
1375	NA12264	0.0543299	0.0454399	0.0152747	0.00388822	-0.00255889	0.01428	0.0191739	-0.00692646	0.00637362	-0.00480055
M012	NA19663	0.0429215	-0.158265	-0.00222033	0.0330569	0.0169993	-0.0277011	0.000791051	0.0206918	0.0101655	0.0216214
M012	NA19664	0.0462424	-0.148963	0.0610596	-0.0652999	-0.0782609	0.113605	0.0696123	-0.10281	0.020082	-0.0692107
M016	NA19722	0.0472417	-0.130315	-0.0040321	-0.00918295	0.00410714	-0.0447766	0.00624743	0.0414597	-0.036976	0.0405465
M016	NA19723	0.0425316	-0.125461	-0.0230363	-0.0123994	0.0213932	-0.0273715	-0.0109178	-0.000612168	-0.00418101	-0.00861645
M001	NA19649	0.049381	-0.0457474	0.00966996	0.00582053	0.000878729	-0.00101114	-0.0178259	0.0218549	-0.0130608	-0.0243948
M002	NA19669	0.0507205	-0.0578346	-0.054834	-0.000751459	-0.0182494	0.00408119	-0.0116622	0.00453896	0.00866665	0.00503463
M007	NA19657	0.047212	-0.160821	0.00136974	0.0387648	0.0198095	-0.0568194	-0.0234779	0.0275869	-0.00904483	0.00898459
M007	NA19658	0.0511786	-0.0566528	0.0107236	0.0239582	0.013676	-0.0336161	0.00171453	0.0210765	-0.0077216	-0.0379229
M015	NA19719	0.0476155	-0.0979684	0.0114876	0.00628907	0.0543912	-0.00108234	0.0233256	0.00918094	-0.026054	0.0205215
M015	NA19720	0.0448974	-0.167806	0.0146383	-0.0139225	0.034294	-0.0218643	-0.00405512	0.0241072	0.0279968	-0.00721006
M017	NA19726	0.0511129	-0.171847	0.00643694	0.00858933	-0.00811914	-0.0451163	-0.00725402	0.0208188	0.00446653	0.0523562
M023	NA19747	0.0503919	-0.134765	0.00821594	0.00601495	0.0129046	-0.0196092	-0.0106073	0.0343926	-0.0094831	0.0105002
M027	NA19759	0.0476539	-0.1952	-0.0120437	0.0350343	0.00539141	-0.0287847	-0.0173653	0.0381947	-0.00280206	-0.00918581
M033	NA19773	0.0488514	-0.0806842	0.00532362	0.00142413	0.02664	-0.0346039	-0.00705172	0.0331562	-0.014618	0.0139397
M035	NA19780	0.0497478	-0.0889078	-0.040849	0.0594126	0.0207589	-0.00874149	-0.0364168	0.00356494	0.047927	-0.0130205
M004	NA19675	0.0515542	-0.00252721	-0.407137	0.279798	0.171075	0.348305	0.118415	-0.0373314	-0.154015	-0.0467225
M004	NA19676	0.051066	-0.0699617	-0.0235276	0.0563462	0.0131562	0.00133466	-0.0429044	0.0082924	-0.0127922	0.0530541
M005	NA19651	0.0470681	-0.0496638	-0.00375396	-0.0111229	0.00488423	-0.0217739	-0.00542508	0.011612	0.0134811	0.0278588
M011	NA19684	0.0542718	-0.0529115	-0.00333391	0.00491518	0.0306442	-0.0114742	-0.0338573	-0.00694165	0.0298724	0.00321578
M017	NA19725	0.050644	-0.0772084	-0.00595114	0.0101333	-0.0157046	-0.0234915	-0.00378006	0.0526152	0.00778903	0.00797811
M026	NA19755	0.0455996	-0.183746	-0.0304574	0.0217076	0.0286924	-0.036468	-0.0207851	0.0459368	-0.00632345	-0.00259277
M026	NA19756	0.0457957	-0.122387	-0.0137014	0.0505458	0.0361358	-0.0781924	-0.0101906	0.0526116	-0.00609036	0.0096842
M033	NA19774	0.0472247	-0.115308	0.0011438	-0.00364032	0.0106348	-0.0232433	-0.0282256	0.0433377	0.0123313	-0.0463464
M034	NA19776	0.0429198	-0.105078	-0.0179147	0.0198903	0.0301971	-0.0101604	-0.00457028	0.0533108	-0.00212728	0.0455077
M034	NA19777	0.0434766	-0.11513	0.0145388	0.0350511	-0.013044	-0.0176868	-0.0468322	0.0331436	-0.0219603	0.00776923
M036	NA19783	0.0512653	-0.217412	0.00320437	0.011417	0.0281491	-0.0694489	-0.019676	0.0320709	-0.00626859	0.03267
M008	NA19661	0.0490705	-0.131576	0.103412	-0.13032	-0.153675	0.236977	0.071625	-0.199875	0.0285165	-0.118383
M010	NA19682	0.0493248	-0.11784	-0.0111741	-0.0131169	0.0145589	-0.0308449	-0.0194332	-0.00608797	-0.00405742	0.00230236
M031	NA19771	0.0475017	-0.134616	-0.0110997	0.0116509	-0.0160975	-0.0261258	0.0120073	0.00640995	-0.0308193	-0.0283481
M035	NA19779	0.0488834	-0.0620659	0.0151262	0.037301	-0.0169337	-0.014641	-0.0105049	-0.00511984	0.00970926	-0.0224233
M036	NA19782	0.0475556	-0.121868	-0.032229	0.00707597	-0.0376084	-0.0380912	-0.0373975	0.032307	-0.00924634	0.0554303
M037	NA19788	0.0460351	-0.184539	-0.0112919	0.00111789	0.0247713	-0.0270979	-0.0107608	0.0189878	0.00986994	0.0175925
